job_title,description,salary,location
Data Analyst,"SQL, Python, R, Data Analysis, Data Visualization, Power BI, Tableau, Looker, Metabase, Pandas, NumPy, SciPy, Statistics, Hypothesis Testing, ETL, Data Modeling, Database Concepts, A/B Testing, Dashboard Development, Git, BigQuery, Redshift, Snowflake, AI Tools (ChatGPT, Copilot, Gemini), Communication",100000,Lahore
Data Analyst,"Python, SQL, R, Data Analysis, Data Visualization, Predictive Modeling, Reporting, ERP Systems, Data Extraction, Data Cleaning, Data Quality, Data Querying, Communication",130000,Lahore
Frontend Developer,"React.js, TypeScript, JavaScript, HTML, CSS, Responsive Web Design, UI/UX, Performance Optimization, Testing, Debugging, API Integration, Firebase, Supabase, Frontend Development, Communication",50000,All cities
Frontend WordPress Developer,"WordPress Development, HTML, CSS, JavaScript, Elementor, Page Builder Plugins, Custom Plugin Integration, Website Performance Optimization, CMS, Theme Customization, Responsive Web Design, SEO Basics, Debugging, Troubleshooting, Collaboration",70000,All cities
Frontend Engineer,"React, Next.js, TypeScript, TailwindCSS, UI Component Design, shadcn/ui, Radix UI, Vercel, CI/CD Pipelines, WCAG Accessibility Standards, Framer Motion, API Integration, AI Generative UI Tools, Responsive Web Design, Performance Optimization, Code Reviews, Collaboration",400000,Lahore
Data Scientist,"Python, R, Machine Learning, Statistical Analysis, Predictive Modeling, Data Analysis, Data Visualization, Data Engineering, ETL Processes, Data Pipelines, Data Warehousing, Cloud Computing, Problem Solving, Communication, ERP Systems, Docker, Kubernetes",250000,Lahore
Principal Data Scientist,"Python, SQL, Machine Learning, Deep Learning, Statistical Modeling, AI System Design, LLMs, Generative AI, RAG Systems, LangChain, LlamaIndex, Agentic AI, PyTorch, TensorFlow, Scikit-learn, Pandas, AWS, SageMaker, Redshift, Lambda, S3, MLOps, CI/CD, Docker, Kubernetes, MLflow, DVC, Data Pipelines, Model Deployment, Model Monitoring, Technical Leadership, Project Management, Communication",450000,Islamabad
Deputy Manager - Backend Developer,"Backend Architecture Design, Scalable System Development, RESTful API Design, API Development, Database Management, Cloud Infrastructure, Server-side Development, Performance Optimization, Payment Gateway Integration, System Design, Code Review, Team Leadership, Troubleshooting, Security Best Practices, Communication",300000,Lahore
Backend Engineer (Laravel) SaaS Payments,"Laravel, PHP, Backend Development, RESTful APIs, API Development, SaaS Platforms, Microservices, Event-Driven Systems, SQL, NoSQL, Database Design, Cloud Platforms (AWS, GCP, Azure), Docker, Kubernetes, Payment Systems, PCI DSS, System Design, Performance Optimization, Security Best Practices, Code Review, Troubleshooting, Communication",180000,All cities
Full Stack Developer,"Angular, Frontend Development, Backend Development, API Design, API Integration, Full Software Development Lifecycle, System Design, Debugging, Testing, Performance Optimization, Code Reviews, Clean Code Practices, Third-party API Integration, Collaboration, Communication",200000,All cities
